,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
2046,-1.5761500445058467,0.23578444751863453,0.143753605597711,0.07392058996242692,0.11026601709223946,-0.09756806325133416,0.047513283235365134,0.02199275373311803,0.05791921899264244,0.0014304412343099252,-0.01396503157069869,0.015179665080096221,-0.0016620348873140182
4683,0.42573226287804816,-0.6010213918843729,-0.22586132159989847,0.5338392713358374,0.0706825277225345,0.3751248052358318,0.050156601106659475,0.22732742135644912,0.22831637112824524,0.2194479712120186,-0.11046199116334628,-0.014561962943686365,-0.08160431010444101
5947,-0.6827552485559824,0.10103641647048923,0.07257222736970519,-0.027847788373425504,-0.010031510509536204,-0.16512610783743767,-0.11680552737647874,-0.04214959959348543,0.030111114969283214,-0.013952694839347449,0.0019527521087962852,-0.007075278117949252,0.02651597650324365
4999,0.11577485888053558,-0.3751652128802187,0.01471108863751269,0.15389004872297551,0.11958467574311366,0.12388675966454411,-0.008327050648468805,0.0263393824987955,-0.017818592282214555,0.03634700081114615,0.015125250312415947,-0.031957371275297096,-0.006484162063858808
5748,0.1309109887525591,-0.3015460052895768,-0.1702393430243564,-0.17361348064025575,-0.06808656301829064,-0.012051649965305949,-0.05860954737071926,0.031205065240108187,-0.07711166131582746,-0.03121766222178202,0.03378367368120944,-0.005947394225339726,-0.0015936261635738887
1307,-1.8503266209195606,0.41758575821392224,0.34178574592392436,0.008195334374617492,0.19655301517466223,-0.26680876337288334,0.003161907118806623,-0.025479186573276122,0.04575093622668304,-0.014392010813296253,-0.010394262683073486,0.025038067759332445,-0.001794816103981445
6754,-1.1197230765767356,0.09586514493717627,0.07429284757402846,-0.07617629630003571,0.08983852543684166,-0.14953772973269008,0.11705060876867314,-0.05906473569881597,-0.062057915454026134,-0.005686399399320712,0.0002052681254127135,0.027931363247727742,0.010002067377770311
1778,-1.0334202488948063,0.08643513798207975,0.08623760884895407,0.006188862939075233,0.05209218329544787,-0.031388791284052094,-0.07148770219217665,0.034489249542461665,0.030060149239071614,0.004619336501415347,0.013541841954078846,0.009612202912122725,-0.0068563366810946635
813,5.1702195479553215,-2.7838965217366605,-2.0028516005341443,-0.3315833320969769,-0.9523289519817106,1.8261026025984608,-0.7334427468535198,1.4031804175615559,0.5422779361545267,-0.8488135806131315,0.8227715634391316,0.0542597130070673,-0.2294012926755168
182,-1.0157078875581202,0.5687638235276704,0.3108551482672779,0.07820390154387312,-0.017930583801427452,-0.011352823499205082,-0.026215405488275566,-0.1118443586364376,-0.0050028583993726805,-0.03539877866917843,-0.01026915959993422,0.018302029961208305,-0.003609344924270957
4044,-0.813943632416689,0.08970440326732958,-0.05366596597601079,-0.12928036642205623,-0.08426962017482464,-0.10423703315753204,-0.05801071404736563,-0.06010902529030398,-0.06858824771087203,-0.0023133789539012267,0.024188820303568805,0.0008948869623334015,-0.021764567932279322
2615,-0.8646935714691203,0.1103882244242269,-0.05868749403496865,-0.08474173466981098,-0.07741016625980737,0.030953415007444227,-0.05872079677926799,-0.0047065567907680055,0.05082611883326672,0.013749142475320473,-0.030597174695471022,0.018575408291473767,0.017497576894426832
4584,2.0569730263652564,-0.46472156722738195,0.8252304295737183,0.2876101306086988,0.5164796693097644,-0.08065086185512721,-0.34879142561271775,-0.14485796578314872,0.05611309794069593,0.0643024773415174,-0.010121049905910177,-0.005486070572830086,0.00043476520828910964
1555,-1.4554305624251662,0.20856775271326325,0.10971909457114341,0.03485810126146258,0.0743354736140579,-0.0748071742332872,0.004533615917402455,0.041045151168405576,0.07468762472742917,-0.012357238792791622,-0.01101539850104236,0.01374241392895905,-0.005003933442667633
299,0.7941390780600222,-0.8227174751999836,-0.7587816393371324,0.5609931761180621,-0.3723875552758259,0.5508894801506,-0.2646226219021301,0.49539308289267825,0.3927010770561501,0.0011954051488860282,-0.11801486263761182,-0.010590362322435104,0.11004830983484899
5357,11.72456442894667,-0.44192715307543146,-3.369172299247371,-0.864179662072715,-2.226597164613703,-1.313267524636112,0.6353359502996586,0.34801686273950716,2.2939157063533755,-0.2692490846447714,-1.1388690060968656,-0.6497191018116133,0.058286198731658766
1047,-0.4849476083614549,0.0855336039497086,-0.09572901383131341,-0.1555953557764501,-0.1395794297893453,-0.08850502509597397,-0.05644509767368124,-0.13680344585292306,-0.07046141945307793,0.0016807981904445905,-0.01804902825449796,0.003442080499791784,0.002315741327750155
235,-0.48497349794174405,0.03232515430952579,-0.08516496673291335,-0.22266382980602845,-0.08512707636980592,-0.1382587064920825,-0.05266704163342133,0.01857868561393643,-0.031221183479065148,0.014531442511496778,-0.027626611289232137,0.017167341190552476,0.014336904411933263
3313,2.279866462627931,-0.8409000740021829,-0.8285330377542678,-0.6544341165491117,-0.5876454081487184,-0.09551067134737834,-0.25749089931509306,-0.09732026625038005,-0.3932734493176818,-0.000349261064774156,0.037929809031091465,-0.01971093284330686,0.09154495292438937
1635,0.028017647040686242,0.4320247474735363,0.03660789817143374,-0.38026705552462203,-0.22144973257080214,-0.4226656143314255,-0.05426289655761948,-0.17440579836345124,0.05774054301193209,-0.046719588550505335,-0.0045254643697703835,-0.043443629917050294,0.011853149536418113
