,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
6851,38.77,86.82,147.51,1.29,25.72,32.26,68.32,2.77,5.0,155.87,34.79,164.74,310.95
5475,131.5,188.03,302.35,13.49,72.75,66.92,125.33,93.5,40.72,192.99,34.525000000000006,332.36,659.32
6917,45.39,133.16,212.98,3.29,40.28,48.8,79.68,15.54,8.91,121.66,42.79,92.21,399.03
1903,15.1,104.0,168.7,1.31,30.0,37.2,54.5,3.56,6.28,125.0,32.3,120.0,328.0
2455,1.6,71.4,103.0,0.36,11.9,24.3,30.9,0.13,0.95,14.9,21.0,617.0,201.0
6690,7.98,39.0,59.3,0.65,13.2,13.9,23.0,1.35,2.78,122.0,12.4,150.0,117.0
6008,25.0,62.0,107.0,0.2,14.0,23.0,41.0,1.1,2.6,338.0,23.0,414.0,236.0
3254,6.03,43.2,90.8,0.15,8.06,19.0,41.4,0.38,1.1,110.0,19.17,256.0,183.0
5669,1.44,125.5,276.2,0.3,12.94,51.66,162.9,0.3,0.71,50.0,78.79,337.6,926.7
6673,42.2,80.4,163.0,1.41,17.9,33.4,87.7,1.15,3.03,180.0,38.0,302.0,397.0
2859,59.0,737.0,817.0,12.4,254.0,223.0,168.0,39.9,56.8,694.0,145.0,424.0,1201.0
6,31.07,28.53,131.72,0.29,9.14,24.36,61.59,0.3,1.12,170.0,32.11,318.0,312.55
6109,26.44,191.0,330.0,0.84,44.75,74.0,124.0,4.69,8.08,336.0,70.0,500.0,626.0
5378,4.52,28.01,73.03,0.24,3.5,12.39,42.85,1.56,0.47,74.39,18.38,783.65,191.32
4565,9.0,6.16,5.65,0.73,3.87,1.77,1.5,0.99,0.81,76.05,0.87,33.16,7.48
6239,13.15,223.0,370.0,0.15,50.39,85.0,134.0,2.81,8.8,736.0,76.0,1779.0,683.0
3125,3.8,74.0,115.0,0.38,15.9,25.7,58.0,0.64,1.21,145.0,27.0,736.0,266.0
3668,7.5,89.0,162.5,0.36,15.4,33.8,64.1,0.79,2.83,128.0,33.4,257.0,326.0
2375,26.61,50.16,103.0,1.09,11.53,20.35,57.94,1.01,2.0,256.0,24.72,299.0,279.0
4427,8.77,108.0,179.0,0.47,26.2,37.8,58.6,1.56,4.15,78.0,34.1,161.0,303.0
124,3.73,24.8,52.4,0.1,4.37,10.3,30.5,0.47,0.7,61.5,11.9,696.0,130.0
770,40.58,156.0,315.0,1.14,29.3,65.0,148.0,1.24,3.62,593.0,70.4,872.0,687.0
6986,27.58,179.18,276.65,0.18,40.8,62.11,83.9,2.86,6.38,120.66,59.06,187.08,513.79
2816,4.14,72.9,115.2,0.37,18.8,25.4,44.3,0.94,2.98,107.0,23.7,617.0,209.0
4324,1.52,164.0,342.0,0.06,16.86,64.9,115.0,0.26,1.62,130.1,71.2,3317.0,784.0
3182,15.9,85.1,172.0,0.41,18.2,33.0,70.8,1.35,2.9,108.0,37.5,264.0,386.0
832,17.11,130.0,285.0,0.64,19.5,55.7,136.0,0.52,2.21,447.0,68.2,1439.0,677.0
1236,12.52,13.19,27.49,0.14,2.58,3.96,15.38,0.24,0.51,338.35,5.07,107.38,103.15
4575,16.54,52.07,70.82,1.2,22.63,16.74,29.74,2.3,6.0,315.1,14.8,790.03,140.27
1280,51.23,180.97,433.52,1.83,37.71,66.08,193.75,18.24,9.21,397.69,80.12,322.49,1373.56
5613,25.3,93.0,153.0,0.19,20.8,33.0,57.0,1.6,3.5,339.0,32.0,624.0,336.0
5564,32.0,376.0,566.0,0.35,73.6,124.0,193.0,9.5,17.8,960.0,117.0,3685.0,1270.0
5983,28.0,55.0,101.0,0.4,14.0,21.0,44.0,1.2,2.1,1413.0,22.0,1126.0,230.0
6872,23.57,49.35,77.24,2.05,15.3,17.07,28.55,2.21,3.68,28.06,16.64,17.65,168.07
2394,47.05,90.01,167.0,1.81,19.04,34.85,83.55,1.53,3.69,627.0,42.63,613.0,494.0
3946,27.7,134.7,244.0,1.83,37.9,54.1,85.8,2.5,5.73,184.0,55.0,199.0,472.0
1315,45.06,268.93,620.6,2.16,51.64,96.33,262.67,3.36,7.86,848.34,114.65,642.14,1956.83
4272,5.91,49.0,90.0,0.14,11.06,19.6,32.3,1.13,2.0,63.0,18.6,152.0,163.0
6810,27.65,99.94,164.52,1.63,25.99,35.74,62.67,2.67,5.69,100.65,36.51,75.44,356.75
2940,85.0,133.0,216.0,2.0,32.0,50.0,71.0,29.0,11.0,192.0,54.0,201.0,599.0
4205,22.2,92.0,182.0,0.12,17.7,36.3,74.5,0.99,2.8,200.0,39.1,713.0,351.0
152,15.0,101.0,184.0,1.2,20.1,39.5,76.9,2.49,3.62,106.0,39.2,136.0,372.0
5535,67.8,373.0,744.0,0.76,69.4,141.0,326.0,13.0,13.7,1618.0,166.0,5408.0,1925.0
3486,2.06,77.8,152.0,0.06,17.4,32.7,63.4,0.81,1.86,88.0,32.8,347.0,326.0
1410,10.9,108.0,195.8,0.35,20.6,41.5,69.9,1.02,2.9,107.0,39.1,118.0,414.0
711,16.65,44.0,97.2,0.49,9.09,18.8,55.6,1.31,1.6,159.0,23.3,332.0,252.0
1481,18.1,58.6,110.7,0.42,13.5,21.9,45.4,1.03,2.45,131.0,24.2,113.0,272.0
964,12.6,57.7,122.0,1.13,11.8,23.9,76.6,0.7,2.22,74.3,29.6,461.0,332.0
324,19.73,117.32,231.82,2.0,22.05,48.71,175.13,1.59,3.59,46.28,62.34,111.87,766.65
5184,6.12,48.3,108.6,0.45,8.12,20.24,66.5,0.48,2.57,60.3,29.65,185.8,282.2
5368,25.0,106.0,173.0,1.09,31.8,44.2,65.8,1.85,5.37,249.0,41.7,190.0,322.0
6841,37.81,82.4,163.19,1.67,23.44,33.61,75.58,6.4,6.21,117.17,38.85,145.17,353.91
6340,1.63,12.88,51.7,2.23,1.77,7.74,75.09,0.17,0.24,9.9,16.53,1019.79,208.47
111,6.53,100.0,198.0,1.19,22.7,42.7,76.0,3.16,4.61,335.0,40.8,358.0,382.0
5724,43.8,87.1,158.0,9.35,36.3,30.6,88.5,47.9,28.2,868.0,45.0,1742.0,509.0
4402,7.35,62.0,136.0,0.3,7.2,26.4,65.3,1.56,0.83,18.0,30.2,354.0,299.0
